更新时间: 2026-01-22 03:57:44（北京时间）

更新时间,#genre#
2026-01-22 03:57:44,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
兵器科技,http://121.230.174.1:8000/rtp/239.49.8.88:8000$江苏电信
风云音乐,http://180.125.178.205:8686/rtp/239.49.8.92:8000$江苏电信
风云音乐,http://223.214.248.90:4022/rtp/238.1.79.64:4648$安徽电信
风云音乐,http://123.181.147.244:7000/rtp/239.254.201.221:7259$河北省电信
风云音乐,http://121.230.174.1:8000/rtp/239.49.8.92:8000$江苏电信
风云足球,http://180.125.178.205:8686/rtp/239.49.8.85:8000$江苏电信
风云足球,http://223.214.248.90:4022/rtp/238.1.79.57:4592$安徽电信
风云足球,http://171.83.38.123:1234/rtp/239.69.1.81:10126$湖北电信
风云足球,http://123.181.147.244:7000/rtp/239.254.201.222:7251$河北省电信
风云足球,http://121.230.174.1:8000/rtp/239.49.8.85:8000$江苏电信
风云剧场,http://180.125.178.205:8686/rtp/239.49.8.89:8000$江苏电信
风云剧场,http://223.214.248.90:4022/rtp/238.1.79.62:4632$安徽电信
风云剧场,http://123.181.147.244:7000/rtp/239.254.201.219:7257$河北省电信
风云剧场,http://121.230.174.1:8000/rtp/239.49.8.89:8000$江苏电信
怀旧剧场,http://180.125.178.205:8686/rtp/239.49.8.91:8000$江苏电信
怀旧剧场,http://223.214.248.90:4022/rtp/238.1.79.61:4624$安徽电信
怀旧剧场,http://123.181.147.244:7000/rtp/239.254.201.220:7256$河北省电信
怀旧剧场,http://121.230.174.1:8000/rtp/239.49.8.91:8000$江苏电信
第一剧场,http://180.125.178.205:8686/rtp/239.49.8.94:8000$江苏电信
第一剧场,http://223.214.248.90:4022/rtp/238.1.79.63:4640$安徽电信
第一剧场,http://171.83.38.123:1234/rtp/239.69.1.74:10084$湖北电信
第一剧场,http://123.181.147.244:7000/rtp/239.254.201.218:7258$河北省电信
第一剧场,http://121.230.174.1:8000/rtp/239.49.8.94:8000$江苏电信
女性时尚,http://180.125.178.205:8686/rtp/239.49.8.93:8000$江苏电信
女性时尚,http://223.214.248.90:4022/rtp/238.1.79.55:4576$安徽电信
女性时尚,http://123.181.147.244:7000/rtp/239.254.201.228:7255$河北省电信
女性时尚,http://121.230.174.1:8000/rtp/239.49.8.93:8000$江苏电信
世界地理,http://180.125.178.205:8686/rtp/239.49.8.87:8000$江苏电信
世界地理,http://223.214.248.90:4022/rtp/238.1.79.60:4616$安徽电信
世界地理,http://171.83.38.123:1234/rtp/239.69.1.91:10186$湖北电信
世界地理,http://123.181.147.244:7000/rtp/239.254.201.226:7254$河北省电信
世界地理,http://121.230.174.1:8000/rtp/239.49.8.87:8000$江苏电信
央视台球,http://180.125.178.205:8686/rtp/239.49.8.32:8000$江苏电信
央视台球,http://223.214.248.90:4022/rtp/238.1.79.59:4608$安徽电信
央视台球,http://171.83.38.123:1234/rtp/239.69.1.98:10224$湖北电信
央视台球,http://123.181.147.244:7000/rtp/239.254.201.171:7176$河北省电信
央视台球,http://121.230.174.1:8000/rtp/239.49.8.32:8000$江苏电信
高尔夫网球,http://180.125.178.205:8686/rtp/239.49.8.86:8000$江苏电信
高尔夫网球,http://223.214.248.90:4022/rtp/238.1.79.58:4600$安徽电信
高尔夫网球,http://171.83.38.123:1234/rtp/239.69.1.83:10138$湖北电信
高尔夫网球,http://123.181.147.244:7000/rtp/239.254.201.223:7252$河北省电信
高尔夫网球,http://121.230.174.1:8000/rtp/239.49.8.86:8000$江苏电信
央视文化精品,http://180.125.178.205:8686/rtp/239.49.8.90:8000$江苏电信
央视文化精品,http://223.214.248.90:4022/rtp/238.1.79.54:4568$安徽电信
央视文化精品,http://123.181.147.244:7000/rtp/239.254.201.229:7260$河北省电信
央视文化精品,http://121.230.174.1:8000/rtp/239.49.8.90:8000$江苏电信
电视指南,http://180.125.178.205:8686/rtp/239.49.8.84:8000$江苏电信
电视指南,http://223.214.248.90:4022/rtp/238.1.79.53:4560$安徽电信
电视指南,http://123.181.147.244:7000/rtp/239.254.201.217:7250$河北省电信
电视指南,http://121.230.174.1:8000/rtp/239.49.8.84:8000$江苏电信

卫视频道,#genre#
湖南卫视,http://180.125.178.205:8686/rtp/239.49.8.12:9418$江苏电信
湖南卫视,http://223.214.248.90:4022/rtp/238.1.78.160:7152$安徽电信
湖南卫视,http://171.83.38.123:1234/rtp/239.254.96.139:8908$湖北电信
湖南卫视,http://116.9.34.165:4000/rtp/239.81.0.110:4056$广西电信
湖南卫视,http://116.9.34.165:4000/rtp/239.81.0.72:4056$广西电信
湖南卫视,http://123.181.147.244:7000/rtp/239.254.200.48:8012$河北省电信
湖南卫视,http://121.230.174.1:8000/rtp/239.49.8.12:9418$江苏电信
浙江卫视,http://180.125.178.205:8686/rtp/239.49.8.20:9618$江苏电信
浙江卫视,http://223.214.248.90:4022/rtp/238.1.78.164:7184$安徽电信
浙江卫视,http://171.83.38.123:1234/rtp/239.254.96.143:8932$湖北电信
浙江卫视,http://116.9.34.165:4000/rtp/239.81.0.108:4056$广西电信
浙江卫视,http://116.9.34.165:4000/rtp/239.81.0.75:4056$广西电信
浙江卫视,http://123.181.147.244:7000/rtp/239.254.200.53:8036$河北省电信
浙江卫视,http://121.230.174.1:8000/rtp/239.49.8.20:9618$江苏电信
江苏卫视,http://180.125.178.205:8686/rtp/239.49.8.16:9602$江苏电信
江苏卫视,http://223.214.248.90:4022/rtp/238.1.78.165:7192$安徽电信
江苏卫视,http://171.83.38.123:1234/rtp/239.254.96.144:8938$湖北电信
江苏卫视,http://116.9.34.165:4000/rtp/239.81.0.106:4056$广西电信
江苏卫视,http://123.181.147.244:7000/rtp/239.254.200.51:8028$河北省电信
